Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,61100.00,35.20,36.35,26.10,27.30,29.55,27.30,3037.00,64977.90,31.66,98665.00,11340.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,63400.00,8.50,9.60,7.20,7.70,8.00,7.70,126.00,2796.30,0.36,1155.00,35.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,58800.00,416.00,460.05,353.60,374.05,361.90,374.05,39121.00,810659.70,5549.52,240205.00,27720.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,54000.00,4568.00,4670.00,4500.25,4535.00,4520.00,4535.00,54.00,1107.44,86.84,64155.00,630.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,54700.00,-,-,-,3553.40,3553.40,3689.75,-,-,-,1960.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,56000.00,2600.00,2722.10,2535.55,2564.15,2558.20,2564.15,386.00,7920.03,354.43,178780.00,2205.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,57300.00,1464.90,1509.30,1354.00,1385.25,1354.00,1385.25,363.00,7462.49,182.53,24150.00,-4060.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,58500.00,499.00,605.00,486.95,516.65,501.10,516.65,192337.00,3975305.09,37205.01,1516165.00,39340.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,59000.00,349.00,367.50,278.80,295.25,286.15,295.25,109139.00,2265996.96,12276.61,1014475.00,67585.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,59700.00,166.00,188.00,117.55,124.75,122.35,124.75,9017.00,188851.37,441.15,77665.00,1120.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,54300.00,-,-,-,4125.00,4125.00,4087.05,-,-,-,980.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,56900.00,1770.00,1874.00,1676.00,1721.45,1719.70,1721.45,76.00,1560.61,47.07,11795.00,-385.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,58000.00,840.00,940.00,784.00,827.50,802.30,827.50,62727.00,1292460.05,19101.95,1337385.00,-161700.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,55100.00,-,-,-,2940.00,2940.00,3294.65,-,-,-,945.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,48000.00,10489.60,10641.00,10489.60,10578.75,10578.75,10372.85,9.00,184.56,33.36,77665.00,-245.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,63000.00,9.95,10.50,8.15,8.70,8.85,8.70,12903.00,284550.88,39.73,428400.00,23625.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,50400.00,-,-,-,8145.10,8145.10,7977.75,-,-,-,70.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,48900.00,-,-,-,5883.25,-,9474.70,-,-,-,-,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,55700.00,-,-,-,2598.00,2598.00,2710.55,-,-,-,1225.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,49700.00,-,-,-,8831.35,8831.35,8676.35,-,-,-,35.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,55200.00,-,-,-,2850.00,2850.00,3196.40,-,-,-,595.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,56200.00,2494.20,2549.90,2434.70,2434.70,2434.70,2238.90,7.00,143.88,6.19,3745.00,-140.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,49600.00,-,-,-,8930.40,8930.40,8776.10,-,-,-,35.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,52000.00,6501.10,6662.65,6501.10,6622.15,6622.15,6381.05,8.00,164.07,18.47,52745.00,-175.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,61700.00,18.50,21.00,15.85,16.75,16.15,16.75,940.00,20305.20,5.90,19810.00,6055.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,56700.00,1944.00,2026.00,1944.00,1955.00,1955.00,1955.00,8.00,164.28,5.52,9555.00,-175.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,62700.00,12.05,15.50,9.40,10.30,10.35,10.30,322.00,7067.50,1.21,6230.00,1435.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,61400.00,39.60,39.60,20.30,21.00,22.35,21.00,1326.00,28506.12,10.38,17780.00,4585.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,64500.00,6.30,7.10,5.20,5.45,5.35,5.45,1152.00,26008.67,2.27,55965.00,13790.00,58274.65
